Term,Artist,Genres,Popularity
long_term,Maddie & Tae,"contemporary country, country, country road",60
long_term,White Noise Radiance,shush,79
long_term,COIN,pov: indie,60
long_term,Rush,"album rock, canadian metal, classic canadian rock, classic rock, hard rock, progressive rock, rock",65
long_term,Fleetwood Mac,"album rock, classic rock, rock, soft rock, yacht rock",81
long_term,Hugh Jackman,"hollywood, show tunes",66
long_term,Foreigner,"album rock, classic rock, glam metal, hard rock, heartland rock, mellow gold, rock, soft rock",69
long_term,The Bros. Landreth,canadian folk,33
long_term,Jimmy Buffett,trop rock,66
long_term,Daryl Hall & John Oates,"album rock, classic rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock",73
long_term,Matchbox Twenty,"neo mellow, pop rock, post-grunge",67
long_term,Haley Joelle,"alt z, gen z singer-songwriter",53
long_term,JAY-Z,"east coast hip hop, gangster rap, hip hop, pop rap, rap",83
long_term,Van Halen,"album rock, classic rock, hard rock, rock",71
long_term,Alexander 23,"alt z, singer-songwriter pop",60
long_term,Linkin Park,"alternative metal, nu metal, post-grunge, rap metal, rock",85
long_term,Eric Hutchinson,"acoustic pop, neo mellow",45
long_term,Jodi Benson,movie tunes,52
long_term,Frank Ocean,"lgbtq+ hip hop, neo soul",84
long_term,B.B. King,"blues, blues rock, classic rock, electric blues, jazz blues, soul blues, traditional blues",60
long_term,Sing Street,,40
long_term,Matt Maeson,pov: indie,62
long_term,Joyce Manor,"alternative emo, dreamo, emo, indie punk, lo-fi emo",53
long_term,John Williams,"orchestral soundtrack, soundtrack",71
long_term,The Red Jumpsuit Apparatus,"alternative metal, neon pop punk, pop punk, post-grunge, screamo",63
long_term,Boston,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock",65
long_term,JVKE,"modern indie pop, pov: indie, singer-songwriter pop",76
long_term,Surfaces,bedroom soul,64
long_term,Sia,"australian dance, australian pop, pop",83
long_term,James Arthur,"pop, talent show, uk pop",81
long_term,Nirvana,"grunge, permanent wave, rock",81
long_term,Lizzy McAlpine,"alt z, boston folk, indie pop, singer-songwriter pop",72
long_term,Ingrid Michaelson,"acoustic pop, ectofolk, lilith, neo mellow",58
long_term,Demi Lovato,"pop, post-teen pop",77
long_term,Chet Baker,"cool jazz, jazz, jazz trumpet, vocal jazz",65
long_term,Charlie Puth,"pop, viral pop",80
long_term,blink-182,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",78
long_term,Zhé Aqueen,,0
long_term,Lorde,"art pop, metropopolis, nz pop, pop",75
long_term,Wallows,pov: indie,69
long_term,Hannah Montana,"pop, post-teen pop",62
long_term,Wild Rivers,folk-pop,64
long_term,The Chainsmokers,pop,79
long_term,Aerosmith,"album rock, classic rock, hard rock, rock",75
long_term,Daniel Donato,"jam band, nashville americana",35
long_term,Muse,"alternative rock, modern rock, permanent wave, rock",74
long_term,Gavin James,irish pop,58
long_term,Otis Redding,"classic soul, memphis soul, soul, soul blues, southern soul, vocal jazz",70
long_term,Train,"dance pop, neo mellow, pop, pop rock",72
long_term,The Neighbourhood,"modern alternative rock, modern rock, pop",83
long_term,Phillip Phillips,"folk-pop, neo mellow, pop rock",61
long_term,Corella,"english indie rock, manchester indie",49
long_term,Dr. Dre,"g funk, gangster rap, hip hop, rap, west coast rap",79
long_term,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap",81
long_term,Charli XCX,"art pop, candy pop, metropopolis, pop, uk pop",74
long_term,GAYLE,modern alternative pop,63
long_term,Justin Hurwitz,"hollywood, movie tunes",63
long_term,Better Oblivion Community Center,"indie pop, indie rock",43
long_term,Allman Brothers Band,"album rock, blues rock, classic rock, country rock, electric blues, folk rock, hard rock, heartland rock, jam band, mellow gold, rock, singer-songwriter, soft rock, southern rock",62
long_term,RAYE,"uk contemporary r&b, uk pop",78
long_term,Shinedown,"alternative metal, nu metal, post-grunge",70
long_term,Robben Ford,"blues, electric blues, jazz blues, jazz fusion, modern blues, soul blues",39
long_term,Maren Morris,"classic texas country, contemporary country",69
long_term,Beyoncé,"pop, r&b",87
long_term,A Day To Remember,"alternative metal, metalcore, neon pop punk, pop punk, screamo",68
long_term,Calvin Harris,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance",85
long_term,Nat King Cole,"adult standards, lounge, soul, swing, vocal jazz",70
long_term,Frank Sinatra,"adult standards, easy listening, lounge",77
long_term,Lil Wayne,"hip hop, new orleans rap, pop rap, rap, trap",85
long_term,Yellowcard,"alternative metal, pop punk, post-grunge, socal pop punk",62
long_term,LP,"la pop, women's music",66
long_term,Etta James,"jazz blues, soul, soul blues, torch song, vocal jazz",69
long_term,Sadie Hawkins,,17
long_term,Ella Fitzgerald,"adult standards, jazz, jazz blues, soul, swing, vocal jazz",67
long_term,Alan Menken,"broadway, movie tunes, orchestral soundtrack",60
long_term,Twenty One Pilots,"modern rock, pop, pov: indie, rock",80
long_term,Jessie Murph,"modern country pop, singer-songwriter pop",72
long_term,Alicia Keys,"neo soul, pop, r&b",78
long_term,Lea Salonga,"movie tunes, tagalog worship",58
long_term,Dolly Parton,"classic country pop, country, country dawn",72
long_term,Miguel,"r&b, urban contemporary",78
long_term,The Script,"celtic rock, pop",73
long_term,Mokita,"chill pop, singer-songwriter pop",57
long_term,P!nk,"dance pop, pop",80
long_term,Jack Harlow,"deep underground hip hop, kentucky hip hop, pop rap, rap",83
long_term,Noah Kahan,pov: indie,87
long_term,Lauren Weintraub,"alt z, gen z singer-songwriter",40
long_term,The xx,"downtempo, dream pop, indietronica",66
long_term,Doyle Bramhall II,"electric blues, modern blues, modern blues rock",30
long_term,DNCE,"dance pop, pop",68
long_term,The Backseat Lovers,"pov: indie, slc indie",66
long_term,Stephen Sanchez,gen z singer-songwriter,77
long_term,Samuel E. Wright,movie tunes,54
long_term,Lady Gaga,"art pop, dance pop, pop",84
long_term,Gunna,"atl hip hop, melodic rap, rap, trap",84
long_term,Penelope Scott,"alt z, modern indie pop, pov: indie",61
long_term,Art Ellefson & Jazz Modus,,0
long_term,Of Monsters and Men,"folk-pop, metropopolis, modern rock, stomp and holler",67
long_term,THE DRIVER ERA,modern alternative rock,56
long_term,Abigail Osborn,,34
long_term,Kesha,"dance pop, pop",77
long_term,Ryan Gosling,hollywood,61
long_term,Childish Gambino,"atl hip hop, hip hop, rap",79
long_term,Vulfpeck,"ann arbor indie, funk rock, instrumental funk",58
long_term,Second Breakfast,,40
long_term,benny blanco,pop,71
long_term,Austin Hull,dark r&b,27
long_term,Incomingon,,37
long_term,Former Days,,38
long_term,PROJECT FIXATE,,39
long_term,ad harmony,,38
long_term,Slipknot,"alternative metal, nu metal, rap metal, rock",77
long_term,Alan Silvestri,"orchestral soundtrack, soundtrack",57
long_term,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock",78
long_term,MEDUZA,"edm, pop dance, pop house, uk dance",75
long_term,Zedd,"complextro, edm, german techno, pop, pop dance",73
long_term,The Cult,"album rock, hard rock, new wave, rock",57
long_term,Black Country Communion,"modern hard rock, supergroup",35
long_term,Vance Joy,"folk-pop, modern rock",76
long_term,Black Eyed Peas,"dance pop, pop, pop rap",79
long_term,Auli'i Cravalho,movie tunes,65
long_term,Willie Nelson,"classic country pop, classic texas country, country, country rock, nashville sound, outlaw country, singer-songwriter",70
long_term,Taron Egerton,hollywood,61
long_term,Kacey Musgraves,"classic texas country, contemporary country, country dawn",77
long_term,Sleeping With Sirens,"neon pop punk, pop emo, pop punk, screamo",63
long_term,Alan Jackson,country,71
long_term,Bear's Den,"folk-pop, stomp and flutter, uk americana",54
long_term,Megan Thee Stallion,"houston rap, pop, r&b, rap, trap queen",79
long_term,Mark Ronson,pop soul,73
long_term,Natalie Cole,"adult standards, disco, quiet storm, soul, vocal jazz",62
long_term,Eminem,"detroit hip hop, hip hop, rap",90
long_term,Kali Uchis,colombian pop,86
long_term,Leon Bridges,"modern blues, neo soul, soul",71
long_term,Tommy Lefroy,"indie pop, modern indie folk",47
long_term,LANY,"la pop, opm",72
long_term,Mik,anime lo-fi,46
long_term,Ben Howard,"british singer-songwriter, folk-pop, indie folk",64
long_term,Frankie Valli & The Four Seasons,"adult standards, bubblegum pop, doo-wop, lounge, northern soul, rock-and-roll, rockabilly",62
long_term,Frankie Valli,"adult standards, bubblegum pop, lounge, rock-and-roll",63
long_term,Kelly Clarkson,"dance pop, pop, talent show",73
long_term,Dayglow,"austindie, indie rock, pov: indie",64
long_term,Greyson Chance,"post-teen pop, viral pop",48
long_term,Current Joys,"lo-fi indie, pov: indie",68
long_term,Cigarettes After Sex,"ambient pop, dream pop, el paso indie, shoegaze",82
long_term,Tori Kelly,"pop, post-teen pop",65
long_term,Metro Boomin,"hip hop, rap",88
long_term,Dominic Fike,"alternative pop rock, pov: indie",76
long_term,Player One,,47
long_term,I Luca,,34
long_term,A Samurai In Tokyo,,44
long_term,Jason Derulo,"dance pop, pop",80
long_term,Daft Punk,"electro, filter house, rock",80
long_term,Ambio,,37
long_term,Laureline,"hopebeat, la pop",20
long_term,The Story So Far,"alternative emo, emo, pop punk",57
long_term,Glass Animals,"gauze pop, indietronica, modern rock, pov: indie, shiver pop",74
long_term,Colbie Caillat,"dance pop, neo mellow, pop",67
long_term,Zander Hawley,,29
long_term,Florence + The Machine,"baroque pop, electropop, modern rock, uk alternative pop",76
long_term,Neutral Milk Hotel,"alternative rock, chamber pop, elephant 6, indie rock, lo-fi, noise pop",56
long_term,The Reytons,english indie rock,54
long_term,Tove Lo,"dance pop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop",72
long_term,Aidan Bissett,gen z singer-songwriter,55
long_term,Baby Keem,"hip hop, rap",78
long_term,Leela James,"neo soul, r&b, urban contemporary",45
long_term,Nick Jonas & The Administration,post-teen pop,29
long_term,London Voices,british choir,41
long_term,ABBA,"europop, swedish pop",80
long_term,Lebouth,,30
long_term,The Revivalists,modern alternative rock,57
long_term,Bad Suns,"la indie, modern alternative rock, modern rock, pov: indie",55
long_term,Julia Michaels,pop,73
long_term,Måneskin,"indie rock italiano, italian pop",79
long_term,milk.,,40
long_term,Kings of Leon,"modern rock, rock",74
long_term,Mariah Carey,"dance pop, pop, urban contemporary",78
long_term,Zeph,gen z singer-songwriter,63
long_term,Foo Fighters,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",77
long_term,Thirty Seconds To Mars,"modern rock, post-grunge",69
long_term,The Flaming Lips,"alternative rock, chamber pop, indie rock, indietronica, noise pop, okc indie, singer-songwriter",54
long_term,Chrisette Michele,"contemporary r&b, hip pop, neo soul, r&b, urban contemporary",56
long_term,Dominik Hauser,"scorecore, theme",34
long_term,ScHoolboy Q,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap",72
long_term,LilyPichu,otacore,48
long_term,Alan Walker,electro house,80
long_term,Ariel Posen,manitoba indie,42
long_term,The Jackson 5,"motown, soul",66
long_term,Jack Johnson,neo mellow,75
long_term,James Morrison,neo mellow,62
long_term,Ben Platt,"broadway, show tunes",61
long_term,Anna Kendrick,"hollywood, movie tunes",69
long_term,Stan Getz,"bebop, bossa nova, cool jazz, jazz, jazz saxophone, latin jazz, samba-jazz, vocal jazz",65
long_term,Travis Scott,"hip hop, rap, slap house",93
long_term,Brett Young,"contemporary country, country, country road, modern country rock",65
long_term,Bruno Major,singer-songwriter pop,65
long_term,The Lumineers,"folk-pop, modern rock, stomp and holler",78
long_term,Nothing But Thieves,"alternative pop rock, modern alternative rock, modern rock",69
long_term,Daniel Caesar,canadian contemporary r&b,81
long_term,Dove Cameron,pop,70
long_term,The Dip,retro soul,54
long_term,Hamish Anderson,modern blues rock,21
long_term,Mumford & Sons,"modern folk rock, modern rock, neo mellow, stomp and holler, uk americana",72
long_term,Lake Street Dive,"boston rock, indie folk, new americana",61
long_term,Umbra,,31
long_term,Lauv,pop,75
long_term,SYML,"indie anthem-folk, modern indie pop",71
long_term,Eric Clapton,"album rock, blues rock, classic rock, electric blues, mellow gold, rock, singer-songwriter, soft rock",70
long_term,Dan + Shay,"contemporary country, country, country road",69
long_term,Nicki Minaj,"hip pop, pop, queens hip hop, rap",87
long_term,Miles Davis,"cool jazz, hard bop, jazz, jazz fusion, jazz trumpet, soul, vocal jazz",62
long_term,Avril Lavigne,"canadian pop, candy pop, dance pop, pop",75
long_term,Queen,"classic rock, glam rock, rock",84
long_term,Fiji Blue,"chill pop, chill r&b",55
long_term,Less Gravity,"lo-fi vgm, weirdcore",51
long_term,Lewis Capaldi,"pop, uk pop",81
long_term,Mac Miller,"hip hop, pittsburgh rap, rap",81
long_term,George Benson,"jazz funk, jazz guitar, smooth jazz, soul jazz, yacht rock",63
long_term,St. Paul & The Broken Bones,retro soul,53
long_term,The Front Bottoms,"asbury park indie, emo, new jersey indie, pov: indie",60
long_term,Ashe,alt z,69
long_term,Sam Fender,"modern rock, north east england indie",69
long_term,Blake Rose,"australian electropop, singer-songwriter pop",51
long_term,The Goo Goo Dolls,"neo mellow, permanent wave, pop rock, post-grunge",72
long_term,Escape the Fate,"alternative metal, metalcore, neon pop punk, pixie, pop punk, post-grunge, screamo",61
long_term,Jake Scott,"indiecoustica, singer-songwriter pop",57
long_term,Marcus King,"modern blues, modern blues rock",53
