Term,Artist,Song,Album,Release Date
medium_term,Arctic Monkeys,Cornerstone,Humbug,2009-08-20
medium_term,Chappell Roan,Casual,The Rise and Fall of a Midwest Princess,2023-09-22
medium_term,Nickelback,How You Remind Me,Silver Side Up,2001-09-11
medium_term,John Mayer,Last Train Home,Sob Rock,2021-07-16
medium_term,Bazzi,I Like That,Infinite Dream,2022-09-16
medium_term,I DONT KNOW HOW BUT THEY FOUND ME,Choke,Choke,2018-08-24
medium_term,MUNA,Silk Chiffon,MUNA,2022-06-24
medium_term,Nickelback,Next Contestant,All the Right Reasons (Special Edition),2005-09-26
medium_term,COIN,Talk Too Much,How Will You Know If You Never Try,2017-04-21
medium_term,Young the Giant,Mind Over Matter,Mind Over Matter,2014-01-17
medium_term,Olivia Rodrigo,get him back!,GUTS,2023-09-08
medium_term,All Time Low,"Oh, Calamity!",Don't Panic: It's Longer Now!,2013-09-30
medium_term,Taylor Swift,right where you left me - bonus track,evermore (deluxe version),2021-01-07
medium_term,Kendrick Lamar,"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city",2012
medium_term,The Neighbourhood,Afraid,I Love You.,2013-04-19
medium_term,Hozier,To Noise Making (Sing),"Wasteland, Baby!",2019-03-01
medium_term,The Chainsmokers,Who Do You Love,World War Joy,2019-12-06
medium_term,Adele,All I Ask,25,2015-11-20
medium_term,Nickelback,Someone That You're With,All the Right Reasons (Special Edition),2005-09-26
medium_term,Young the Giant,Something to Believe In,Home of the Strange,2016-08-12
medium_term,The Academic,Bite My Tongue,Tales from the Backseat,2018-01-12
medium_term,Miley Cyrus,Prisoner (feat. Dua Lipa),Plastic Hearts,2020-11-27
medium_term,Nickelback,"Photograph - Live at Gwinnett Center Arena, Atlanta, GA, 3/17/2006",All the Right Reasons (Special Edition),2005-09-26
medium_term,The Academic,Why Can't We Be Friends?,Tales from the Backseat,2018-01-12
medium_term,Asking Alexandria,Alone In A Room,Asking Alexandria,2017-12-15
medium_term,Gracie Abrams,Where do we go now?,Good Riddance (Deluxe),2023-06-16
medium_term,Bad Omens,The Worst In Me,Bad Omens,2016-08-19
medium_term,Nickelback,Animals,All the Right Reasons (Special Edition),2005-09-26
medium_term,Logic,Under Pressure,Under Pressure (Deluxe),2014-10-21
medium_term,The Academic,Mixtape 2003,Mixtape 2003,2016-08-19
medium_term,First and Forever,Sick Little Games,Sick Little Games,2021-10-08
medium_term,Linkin Park,Numb,Meteora,2003-09-16
medium_term,DON BROCO,Nerve,Automatic,2016-11-11
medium_term,Billie Eilish,Ocean Eyes - Blackbear Remix,Ocean Eyes (The Remixes),2017-01-13
medium_term,Olivia Rodrigo,vampire,GUTS,2023-09-08
medium_term,Mumford & Sons,I Will Wait,Babel (Deluxe Version),2012-09-25
medium_term,5 Seconds of Summer,Jet Black Heart,Sounds Good Feels Good (Deluxe),2015-10-23
medium_term,Doja Cat,Paint The Town Red,Paint The Town Red,2023-08-04
medium_term,KALEO,All the Pretty Girls,A/B,2016-06-10
medium_term,JID,Surround Sound (feat. 21 Savage & Baby Tate),The Forever Story (Extended Version),2022-10-31
medium_term,Creed,My Sacrifice,Weathered,2001-01-01
medium_term,Nickelback,Photograph,All the Right Reasons,2005-09-26
medium_term,John Mayer,In the Blood,The Search for Everything,2017-04-14
medium_term,The Academic,Thought I Told You,Loose Friends,2015-10-30
medium_term,Peach Pit,Alrighty Aphrodite,Being So Normal,2018-06-28
medium_term,Gracie Abrams,Difficult,Good Riddance (Deluxe),2023-06-16
medium_term,The Academic,Different,Loose Friends,2015-10-30
medium_term,Chappell Roan,Red Wine Supernova,Red Wine Supernova,2023-05-17
medium_term,John Mayer,Stop This Train,Continuum,2006-09-11
medium_term,Sum 41,Still Waiting,Does This Look Infected?,2002-01-01
medium_term,John Mayer,New Light,Sob Rock,2021-07-16
medium_term,Del Water Gap,Ode to a Conversation Stuck in Your Throat,Del Water Gap,2021-10-08
medium_term,The Kid LAROI,STAY (with Justin Bieber),STAY (with Justin Bieber),2021-07-09
medium_term,Death Cab for Cutie,Soul Meets Body,Plans,2005-08-29
medium_term,Matt Maeson,Hallucinogenics,Bank On The Funeral,2019-04-05
medium_term,Catfish and the Bottlemen,Longshot,The Balance,2019-04-26
medium_term,Hozier,Shrike,"Wasteland, Baby!",2019-03-01
medium_term,Halsey,Alone,hopeless fountain kingdom (Deluxe),2017-06-02
medium_term,5 Seconds of Summer,Old Me,CALM,2020-03-27
medium_term,John Mayer,Carry Me Away,Sob Rock,2021-07-16
medium_term,Stevie Wonder,For Once In My Life,For Once In My Life,1968-12-01
medium_term,Of Monsters and Men,Mountain Sound,My Head Is An Animal,2012-01-01
medium_term,Young the Giant,Cough Syrup,Young The Giant (Special Edition),2011
medium_term,Hozier,Nina Cried Power (feat. Mavis Staples),"Wasteland, Baby!",2019-03-01
medium_term,Hozier,Work Song,Hozier,2014-10-07
medium_term,Night Riots,Back to Your Love,Young Lore,2013-07-30
medium_term,Berhana,Janet,Berhana,2016-07-21
medium_term,Jack Harlow,Lovin On Me,Lovin On Me,2023-11-10
medium_term,Phoebe Bridgers,Scott Street,Stranger in the Alps (Deluxe Edition),2018-10-02
medium_term,Post Malone,Better Now,beerbongs & bentleys,2018-04-27
medium_term,Arctic Monkeys,Why'd You Only Call Me When You're High?,AM,2013-09-09
medium_term,Olivia Rodrigo,ballad of a homeschooled girl,GUTS,2023-09-08
medium_term,Tate McRae,exes,THINK LATER,2023-12-08
medium_term,Hozier,Arsonist's Lullabye,From Eden EP,2014-03-09
medium_term,Young the Giant,Superposition,Mirror Master,2018-10-12
medium_term,All Time Low,"Dear Maria, Count Me In","So Wrong, It's Right",2007-09-25
