Term,Artist,Song,Album,Release Date
long_term,All Time Low,The Irony of Choking on a Lifesaver,Don't Panic,2012-10-09
long_term,Billie Eilish,Therefore I Am,Therefore I Am,2020-11-12
long_term,Tate McRae,grave,THINK LATER,2023-12-08
long_term,vaultboy,why u gotta be like that (feat. Nightly),why u gotta be like that (feat. Nightly),2022-08-17
long_term,Paramore,Hallelujah,Riot!,2007-06-11
long_term,Olivia Rodrigo,all-american bitch,GUTS,2023-09-08
long_term,Jukebox The Ghost,Girl,Jukebox The Ghost,2015-04-07
long_term,Phoebe Bridgers,Kyoto,Punisher,2020-06-18
long_term,My Chemical Romance,Dead!,The Black Parade,2006-10-23
long_term,Kendrick Lamar,Swimming Pools (Drank) - Extended Version,"good kid, m.A.A.d city (Deluxe)",2012
long_term,Dance Gavin Dance,Die Another Day,Jackpot Juicer,2022-07-29
long_term,Nightly,dirty white chucks,dirty white chucks,2022-10-14
long_term,Young the Giant,Mind Over Matter (Reprise),Mirrorball / Mind Over Matter (Reprise),2015-04-18
long_term,The Weeknd,I Feel It Coming,Starboy,2016-11-25
long_term,My Chemical Romance,House of Wolves,The Black Parade,2006-10-23
long_term,Billie Eilish,wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
long_term,Drake,On BS,Her Loss,2022-11-04
long_term,The Weeknd,Reminder,Starboy,2016-11-25
long_term,Young the Giant,Cult of Personality,American Bollywood,2022-11-16
long_term,vaultboy,aftermath,aftermath,2021-09-03
long_term,Catfish and the Bottlemen,Pacifier,The Balcony,2014-09-15
long_term,Noah Cyrus,Loretta's Song,The Hardest Part (Deluxe),2022-12-02
long_term,Gracie Abrams,Where do we go now?,Good Riddance,2023-02-24
long_term,Ballyhoo!,Maryland Summer,Detonate,2018-09-28
long_term,All Time Low,Weightless,Nothing Personal (Deluxe Version),2009-07-07
long_term,Joshua Bassett,Set Me Free,Crisis / Secret / Set Me Free,2021-12-03
long_term,Gracie Abrams,"I miss you, I’m sorry",minor,2020-07-14
long_term,Billie Eilish,lovely (with Khalid),lovely (with Khalid),2018-04-19
long_term,Nightly,lover/loner,lover/loner,2021-04-30
long_term,Kendrick Lamar,All The Stars (with SZA),Black Panther The Album Music From And Inspired By,2018-02-09
long_term,Noah Cyrus,Mr. Percocet,The Hardest Part (Deluxe),2022-12-02
long_term,Kendrick Lamar,"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city (Deluxe)",2012
long_term,J. Cole,Crooked Smile (feat. TLC),Born Sinner (Deluxe Version),2013-06-18
long_term,Billie Eilish,Male Fantasy,Happier Than Ever,2021-07-30
long_term,Drake,Broke Boys,Her Loss,2022-11-04
long_term,Olivia Rodrigo,good 4 u,SOUR,2021-05-21
long_term,Sabrina Carpenter,Nonsense,emails i can't send,2022-07-15
long_term,Hozier,Abstract (Psychopomp),Unreal Unearth,2023-08-18
long_term,Taylor Swift,Delicate,reputation,2017-11-10
long_term,The Weeknd,Ordinary Life,Starboy,2016-11-25
long_term,Nightly,Twenty Something,Talk You Down,2019-06-14
long_term,Hozier,Damage Gets Done (feat. Brandi Carlile),Unreal Unearth,2023-08-18
long_term,Young the Giant,Repeat,Home of the Strange,2016-08-12
long_term,Harry Styles,Little Freak,Harry's House,2022-05-20
long_term,SUGR?,Back With You,Back With You,2021-01-31
long_term,The xx,Intro,xx,2009-08-18
long_term,Drake,Major Distribution,Her Loss,2022-11-04
long_term,All Time Low,Backseat Serenade,Don't Panic,2012-10-09
long_term,Conan Gray,People Watching,Superache,2022-06-24
long_term,My Chemical Romance,Mama,The Black Parade,2006-10-23
long_term,Nightly,older,"night, love you.",2020-10-16
long_term,Billie Eilish,you should see me in a crown,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
long_term,J. Cole,m y . l i f e (with 21 Savage & Morray),The Off-Season,2021-05-14
long_term,Sabrina Carpenter,Fast Times,emails i can't send,2022-07-15
long_term,Noah Cyrus,Ready to Go - String Arrangement,The Hardest Part (Deluxe),2022-12-02
long_term,The Struts,Could Have Been Me,Everybody Wants,2016-03-04
long_term,Escape the Fate,One For the Money,Ungrateful,2013-05-14
long_term,Miley Cyrus,Adore You,Bangerz (Deluxe Version),2013-10-04
long_term,SUGR?,Inside My Head,Inside My Head,2019-09-12
long_term,Justin Bieber,Ghost,Justice,2021-03-19
long_term,Bazzi,3:15,COSMIC,2018-04-12
long_term,Cardinal Black,Tell Me How It Feels,Tell Me How It Feels,2021-05-07
long_term,Billie Eilish,Lost Cause,Happier Than Ever,2021-07-30
long_term,Gracie Abrams,Rockland,This Is What It Feels Like,2021-11-12
long_term,My Chemical Romance,This Is How I Disappear,The Black Parade,2006-10-23
long_term,Joey Landreth,Whiskey,Whiskey,2019-04-05
long_term,Doja Cat,Kiss Me More (feat. SZA),Planet Her,2021-06-25
long_term,My Chemical Romance,The World Is Ugly,Number Three,2012-12-18
long_term,Drake,Treacherous Twins,Her Loss,2022-11-04
long_term,Greta Van Fleet,Light My Love,The Battle at Garden’s Gate,2021-04-16
long_term,My Chemical Romance,Kill All Your Friends,Famous Last Words,2007-01-22
long_term,5 Seconds of Summer,Me Myself & I,BLENDER,2022-07-13
long_term,Drake,Middle of the Ocean,Her Loss,2022-11-04
long_term,Taylor Swift,Anti-Hero,Midnights,2022-10-21
long_term,Taylor Swift,illicit affairs,folklore,2020-07-24
long_term,Olivia Rodrigo,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""","The Rose Song [From ""High School Musical: The Musical: The Series (Season 2)""]",2021-06-18
long_term,Billie Eilish,bellyache,Bellyache,2017-02-24
long_term,Hozier,Unknown / Nth,Unreal Unearth,2023-08-18
long_term,Zhé Aqueen,Aphrodisiac,Aphrodisiac,2017-06-12
long_term,Miley Cyrus,The Climb,Hannah Montana The Movie,2009-01-01
long_term,Doja Cat,Agora Hills,Scarlet,2023-09-22
long_term,Noah Cyrus,Unfinished - Acoustic,The Hardest Part (Deluxe),2022-12-02
long_term,Frank Ocean,Thinkin Bout You,channel ORANGE,2012-07-10
long_term,Tonight Alive,Lonely Girl,The Other Side,2013-09-10
long_term,All Time Low,Damned If I Do Ya (Damned If I Don't),Nothing Personal (Deluxe Version),2009-07-07
long_term,John Mayer,Dear Marie,Paradise Valley,2013-08-20
long_term,Taylor Swift,Midnight Rain,Midnights,2022-10-21
long_term,Joshua Bassett,Secret,Crisis / Secret / Set Me Free,2021-12-03
long_term,John Mayer,Last Train Home,Last Train Home,2021-06-04
long_term,Sabrina Carpenter,Tornado Warnings,emails i can't send,2022-07-15
long_term,Bad Omens,THE DEATH OF PEACE OF MIND,THE DEATH OF PEACE OF MIND,2022-02-25
long_term,Harry Styles,Satellite,Harry's House,2022-05-20
long_term,21 Savage,a lot,i am > i was,2018-12-21
long_term,Olivia Rodrigo,brutal,SOUR,2021-05-21
long_term,Billie Eilish,Oxytocin,Happier Than Ever,2021-07-30
long_term,H.E.R.,Focus,H.E.R.,2017-10-20
long_term,Em Beihold,Numb Little Bug,Egg in the Backseat,2022-07-22
long_term,Ruel,MUST BE NICE,MUST BE NICE,2023-01-25
long_term,Kanye West,Good Life,Graduation,2007-09-11
long_term,Conan Gray,Winner,Winner,2023-08-25
long_term,Gary Clark Jr.,The Guitar Man,This Land,2019-02-22
long_term,Olivia Rodrigo,drivers license,SOUR,2021-05-21
long_term,Catfish and the Bottlemen,Oxygen,The Ride,2016-05-27
long_term,Arctic Monkeys,Do I Wanna Know?,AM,2013-09-09
long_term,Dance Gavin Dance,Death of a Strawberry,Instant Gratification,2015-04-14
long_term,Gary Clark Jr.,Soul,Blak and Blu (Deluxe Edition),2012-10-22
long_term,Rise Against,Savior,Appeal To Reason,2008-01-01
long_term,Gary Clark Jr.,Don't Wait Til Tomorrow,This Land,2019-02-22
long_term,The Killers,Mr. Brightside,Hot Fuss,2004
long_term,Taylor Swift,Cruel Summer,Lover,2019-08-23
long_term,5 Seconds of Summer,CAROUSEL,5SOS5,2022-09-23
long_term,Olivia Rodrigo,"All I Want - From ""High School Musical: The Musical: The Series""","All I Want (From ""High School Musical: The Musical: The Series"")",2019-11-27
long_term,Catfish and the Bottlemen,Fluctuate,The Balance,2019-04-26
long_term,Young the Giant,Simplify,Mirror Master,2018-10-12
long_term,All Time Low,Monsters (feat. Demi Lovato and blackbear),Monsters (feat. Demi Lovato and blackbear),2020-12-04
long_term,Nightly,summer,"night, love you.",2020-10-16
